"pathway","human_entities","R. norvegicus_entities","M. musculus_entities","D. rerio_entities","C. elegans_entities","D. melanogaster_entities","S. cerevisiae_entities","human_reactions","R. norvegicus_reactions","M. musculus_reactions","D. rerio_reactions","C. elegans_reactions","D. melanogaster_reactions","S. cerevisiae_reactions"
"R-HSA-1059683",17,7,7,7,1,0,0,20,17,17,18,2,0,0
"R-HSA-109581",192,143,145,128,62,72,43,141,133,133,131,37,91,15
"R-HSA-109582",801,513,525,437,135,165,38,334,320,321,309,148,180,64
"R-HSA-109606",64,42,42,37,7,9,3,62,56,56,55,11,24,4
"R-HSA-109703",8,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-109704",58,29,30,28,8,7,4,6,6,6,6,4,4,4
"R-HSA-110056",13,3,3,4,1,1,1,4,3,3,3,2,2,2
"R-HSA-110312",19,12,12,11,9,12,9,5,5,5,5,5,5,5
"R-HSA-110313",48,33,33,29,22,26,19,28,28,28,28,28,28,27
"R-HSA-110314",30,26,26,24,20,22,16,6,6,6,6,6,6,5
"R-HSA-110320",24,14,14,13,11,14,9,8,8,8,8,8,8,8
"R-HSA-110328",42,24,25,13,3,5,4,21,16,16,13,5,8,6
"R-HSA-110329",51,24,25,13,3,5,4,20,15,15,12,5,8,6
"R-HSA-110330",39,20,21,11,2,3,3,10,8,8,8,2,5,3
"R-HSA-110331",45,20,21,11,2,3,3,9,8,8,8,2,5,3
"R-HSA-110357",10,6,6,5,2,4,2,8,8,8,8,8,8,2
"R-HSA-110362",15,8,8,8,3,5,2,10,10,10,10,8,9,8
"R-HSA-110373",32,23,23,21,16,18,14,19,19,19,19,17,18,14
"R-HSA-110381",7,4,4,4,1,3,0,6,6,6,6,2,6,0
"R-HSA-111367",10,8,8,4,8,7,2,2,2,2,2,2,2,2
"R-HSA-111446",5,3,3,1,0,0,1,2,1,1,1,0,0,1
"R-HSA-111447",19,12,12,10,3,3,1,5,4,4,4,2,2,1
"R-HSA-111448",6,4,4,4,1,1,0,5,4,4,4,2,2,0
"R-HSA-111452",2,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-111453",11,4,4,4,1,0,0,4,4,4,4,2,0,0
"R-HSA-111457",8,4,4,3,0,0,0,4,3,3,3,0,0,0
"R-HSA-111458",13,8,8,8,0,1,0,10,10,10,10,0,1,0
"R-HSA-111459",8,5,5,5,0,2,0,2,2,2,2,0,2,0
"R-HSA-111461",15,10,10,10,0,2,0,12,12,12,12,0,3,0
"R-HSA-111463",7,6,6,6,0,2,0,4,4,4,4,0,4,0
"R-HSA-111464",7,6,6,6,0,2,0,3,3,3,3,0,3,0
"R-HSA-111465",38,34,34,28,13,15,3,38,38,38,38,13,35,3
"R-HSA-111469",8,6,6,6,0,2,0,10,10,10,10,0,10,0
"R-HSA-111471",23,14,14,13,1,3,1,28,27,27,27,2,15,2
"R-HSA-111885",112,85,86,77,28,37,8,59,56,56,52,48,51,15
"R-HSA-111931",26,17,17,16,8,12,0,7,7,7,7,6,6,0
"R-HSA-111932",13,10,10,8,4,5,1,13,13,13,9,11,13,2
"R-HSA-111933",43,32,32,29,12,18,1,23,23,23,19,20,22,2
"R-HSA-111957",8,4,4,2,2,2,0,2,2,2,2,2,2,0
"R-HSA-111995",9,2,2,2,0,0,1,3,1,1,1,0,0,1
"R-HSA-111996",48,34,34,31,12,18,2,27,25,25,20,21,23,3
"R-HSA-111997",43,32,32,29,12,18,1,24,24,24,19,21,23,2
"R-HSA-112040",72,51,51,46,19,26,3,41,39,39,34,35,37,6
"R-HSA-112043",67,46,46,42,16,24,3,32,30,30,25,26,28,6
"R-HSA-112122",8,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112126",11,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-112303",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112307",6,5,5,4,0,0,0,4,4,4,4,0,0,0
"R-HSA-112308",14,11,11,11,5,4,0,1,1,1,1,1,1,0
"R-HSA-112310",99,49,48,43,27,25,5,37,32,32,30,25,25,6
"R-HSA-112311",34,9,9,6,4,4,1,13,12,12,8,4,4,1
"R-HSA-112313",10,4,4,3,2,2,1,3,3,3,2,2,2,1
"R-HSA-112314",231,167,170,160,71,70,15,109,107,107,99,104,102,22
"R-HSA-112315",341,228,230,213,104,99,22,163,155,155,140,136,134,30
"R-HSA-112316",487,353,359,330,128,130,24,216,208,208,193,175,171,34
"R-HSA-112382",63,56,56,53,46,51,45,2,2,2,2,2,2,2
"R-HSA-112399",65,30,31,28,9,8,5,9,9,9,7,7,7,6
"R-HSA-112409",28,14,14,14,3,3,1,12,11,11,11,4,4,2
"R-HSA-112411",12,2,2,3,0,0,0,3,3,3,3,0,0,0
"R-HSA-112412",10,1,1,0,1,1,1,2,2,2,0,2,2,2
"R-HSA-113418",37,32,32,31,28,32,28,3,3,3,3,3,3,3
"R-HSA-113501",15,10,11,10,7,7,6,3,3,3,3,3,3,2
"R-HSA-113507",9,7,7,7,4,6,4,1,1,1,1,1,1,1
"R-HSA-113510",24,17,18,17,11,13,10,4,4,4,4,4,4,3
"R-HSA-114294",2,1,1,1,0,0,0,4,4,4,4,0,0,0
"R-HSA-114452",36,24,24,20,5,6,2,19,14,14,14,7,9,2
"R-HSA-114508",40,26,26,22,11,11,1,9,9,9,9,7,7,1
"R-HSA-114516",10,5,5,5,2,2,2,2,2,2,2,2,2,2
"R-HSA-114604",43,29,29,20,7,7,2,25,25,25,21,16,16,5
"R-HSA-114608",137,106,111,100,38,47,9,11,11,11,11,9,10,4
"R-HSA-1168372",91,66,67,59,43,51,39,15,14,15,14,7,11,7
"R-HSA-1169091",72,56,57,52,39,45,36,10,9,10,9,5,8,5
"R-HSA-1169092",11,2,2,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-1169408",83,53,55,51,21,37,9,16,16,16,14,13,13,6
"R-HSA-1169410",94,57,60,53,23,39,9,31,21,22,16,15,15,6
"R-HSA-1170546",18,11,11,10,3,3,3,14,14,14,14,3,3,3
"R-HSA-1181150",23,12,12,9,2,3,0,12,12,12,12,5,8,0
"R-HSA-1187000",31,15,25,11,3,2,0,9,8,9,4,3,2,0
"R-HSA-1221632",62,26,27,15,10,8,7,6,6,6,6,6,6,6
"R-HSA-1222387",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222449",17,0,0,0,0,0,0,10,0,0,0,0,0,0
"R-HSA-1222499",72,0,0,0,0,0,0,34,0,0,0,0,0,0
"R-HSA-1222538",37,0,0,0,0,0,0,10,0,0,0,0,0,0
"R-HSA-1222541",19,0,0,0,0,0,0,7,0,0,0,0,0,0
"R-HSA-1222556",82,32,33,25,16,17,15,45,10,10,4,2,2,2
"R-HSA-1226099",81,0,0,0,0,0,0,106,0,0,0,0,0,0
"R-HSA-1227986",68,28,29,25,11,14,4,46,45,45,44,35,33,13
"R-HSA-1227990",36,0,0,0,0,0,0,62,0,0,0,0,0,0
"R-HSA-1234158",15,5,6,6,1,1,0,7,6,6,6,4,4,0
"R-HSA-1234174",85,67,68,65,44,48,35,20,19,19,19,13,13,9
"R-HSA-1234176",72,60,60,57,43,47,35,12,12,12,12,9,9,9
"R-HSA-1236382",26,0,0,0,0,0,0,23,0,0,0,0,0,0
"R-HSA-1236394",82,33,35,30,13,11,1,52,29,30,29,10,10,2
"R-HSA-1236973",13,5,6,6,0,1,0,3,3,3,3,0,1,0
"R-HSA-1236974",173,71,74,64,46,53,38,10,10,10,10,9,9,8
"R-HSA-1236975",195,84,88,77,47,55,39,23,22,22,22,11,12,10
"R-HSA-1236977",82,9,9,8,1,1,1,4,4,4,4,1,1,1
"R-HSA-1236978",53,48,48,46,35,38,33,6,5,5,5,1,1,1
"R-HSA-1237044",23,12,12,9,2,2,0,7,7,7,6,2,2,0
"R-HSA-1237112",24,6,6,6,5,5,5,7,7,7,7,6,6,6
"R-HSA-1247673",16,8,8,6,1,2,0,6,6,6,5,1,2,0
"R-HSA-1250196",36,9,9,6,2,3,1,6,6,6,5,4,4,2
"R-HSA-1250342",15,5,5,4,1,0,0,2,2,2,2,2,0,0
"R-HSA-1250347",21,5,5,3,1,2,1,4,4,4,4,2,4,2
"R-HSA-1251932",6,2,2,2,1,1,0,2,2,2,2,1,1,0
"R-HSA-1251985",47,15,17,14,6,5,0,34,12,13,12,2,2,0
"R-HSA-1253288",11,5,5,5,2,3,0,5,4,4,4,3,3,0
"R-HSA-1257604",319,202,206,185,97,109,59,86,75,75,73,64,67,26
"R-HSA-1266695",31,21,21,18,4,5,2,26,22,22,22,6,8,2
"R-HSA-1266738",1262,704,765,593,291,312,180,556,462,468,458,305,335,107
"R-HSA-1268020",69,31,32,40,20,28,22,14,14,14,14,12,14,13
"R-HSA-1280215",1092,477,483,385,152,167,80,708,612,630,584,204,224,73
"R-HSA-1280218",1004,629,640,515,229,271,132,264,252,253,242,137,155,92
"R-HSA-1295596",19,8,8,6,1,4,1,11,10,10,10,2,7,7
"R-HSA-1296025",6,4,4,4,0,0,1,2,2,2,2,0,0,1
"R-HSA-1296041",31,28,29,28,8,6,1,3,3,3,3,3,3,3
"R-HSA-1296052",10,8,8,6,2,1,0,3,3,3,3,2,1,0
"R-HSA-1296053",5,4,4,4,2,1,0,1,1,1,1,1,1,0
"R-HSA-1296059",31,28,29,28,8,6,1,3,3,3,3,3,3,3
"R-HSA-1296061",6,4,4,3,0,1,0,2,2,2,2,0,2,0
"R-HSA-1296065",38,34,35,34,9,7,2,7,7,7,7,4,4,4
"R-HSA-1296067",4,3,3,3,0,0,0,1,1,1,1,0,0,0
"R-HSA-1296071",107,97,101,91,20,21,3,19,19,19,19,12,11,5
"R-HSA-1296072",44,40,43,38,4,9,0,1,1,1,1,1,1,0
"R-HSA-1296346",13,11,11,10,5,3,1,6,6,6,6,5,3,1
"R-HSA-1299287",2,1,1,1,0,0,0,1,1,1,1,0,0,0
"R-HSA-1299308",4,3,3,2,1,0,0,1,1,1,1,1,0,0
"R-HSA-1299316",3,2,2,2,1,1,1,1,1,1,1,1,1,1
"R-HSA-1299344",2,1,1,1,1,1,0,1,1,1,1,1,1,0
"R-HSA-1299361",3,1,1,1,1,0,0,1,1,1,1,1,0,0
"R-HSA-1299503",4,3,3,3,1,1,0,1,1,1,1,1,1,0
"R-HSA-1300642",13,8,9,1,1,1,0,4,4,4,1,1,1,0
"R-HSA-1300645",6,6,6,2,1,1,0,3,3,3,1,1,1,0
"R-HSA-1306955",6,2,2,2,1,1,0,1,1,1,1,1,1,0
"R-HSA-1307965",6,2,3,3,0,0,0,2,2,2,2,0,0,0
"R-HSA-1358803",16,5,5,5,2,5,0,8,8,8,8,6,8,0
"R-HSA-1362277",25,16,16,13,10,8,2,12,12,12,12,12,12,12
"R-HSA-1362300",20,12,12,11,8,6,1,8,8,8,8,8,8,1
"R-HSA-1362409",25,9,9,9,8,9,8,6,5,5,5,5,5,5
"R-HSA-1368071",5,2,3,3,1,1,0,1,1,1,1,1,1,0
"R-HSA-1368082",26,11,13,10,5,8,1,4,2,2,2,2,2,1
"R-HSA-1368108",43,12,14,11,3,7,1,20,4,4,4,1,2,1
"R-HSA-1369007",10,4,4,4,3,4,1,2,2,2,2,2,2,1
"R-HSA-1369062",29,16,16,11,6,9,4,11,11,11,7,4,7,3
"R-HSA-139853",22,14,14,13,3,4,0,5,5,5,5,4,4,0
"R-HSA-139910",5,3,3,3,1,1,0,2,1,1,1,1,1,0
"R-HSA-139915",10,6,6,6,1,2,0,5,4,4,4,2,4,0
"R-HSA-140179",22,3,3,2,1,1,0,6,5,5,4,2,2,0
"R-HSA-140180",9,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-140342",13,12,13,12,3,6,3,12,12,12,12,5,12,5
"R-HSA-140534",20,7,8,7,0,1,0,9,9,9,9,0,9,0
"R-HSA-140834",6,4,4,3,0,1,0,8,8,8,8,0,4,0
"R-HSA-140837",26,20,21,17,2,7,1,24,24,24,22,5,9,5
"R-HSA-140875",25,17,18,14,1,5,0,29,29,29,28,1,16,0
"R-HSA-140877",43,31,33,25,3,8,1,61,61,61,58,6,29,5
"R-HSA-141333",13,2,2,1,0,0,0,3,3,3,2,0,0,0
"R-HSA-141334",13,1,1,1,1,1,0,3,2,2,2,2,2,0
"R-HSA-141405",21,17,18,16,13,15,13,3,3,3,3,3,3,3
"R-HSA-141424",94,81,84,75,21,26,12,4,4,4,4,4,4,4
"R-HSA-141430",21,17,18,16,13,15,13,2,2,2,2,2,2,2
"R-HSA-141444",94,81,84,75,21,26,12,4,4,4,4,4,4,4
"R-HSA-1428517",235,161,164,159,76,136,46,67,61,61,59,48,56,35
"R-HSA-1430728",3634,1773,1837,1638,862,938,486,2247,1804,1824,1690,1177,1127,642
"R-HSA-1433557",51,28,29,25,8,9,1,39,31,32,30,11,14,3
"R-HSA-1433559",18,9,10,9,2,3,1,8,7,8,8,2,3,1
"R-HSA-1433617",12,6,6,6,0,1,0,3,3,3,3,0,1,0
"R-HSA-1442490",69,54,57,39,17,7,0,34,34,34,31,27,13,0
"R-HSA-1445148",79,50,50,40,27,31,15,15,11,11,10,9,9,7
"R-HSA-1461957",40,17,17,2,0,1,0,5,5,5,2,0,1,0
"R-HSA-1461973",51,24,23,4,0,1,0,19,17,17,4,0,1,0
"R-HSA-1462054",11,7,6,2,0,0,0,12,10,10,2,0,0,0
"R-HSA-1474151",37,8,8,7,5,5,2,16,7,7,7,6,7,4
"R-HSA-1474165",123,50,61,35,18,16,12,24,22,23,18,16,15,13
"R-HSA-1474228",148,112,121,92,23,16,0,105,105,105,95,75,41,0
"R-HSA-1474244",329,249,263,215,47,48,1,319,308,309,292,167,124,1
"R-HSA-1474290",104,81,86,62,21,16,0,77,67,68,63,39,24,0
"R-HSA-1475029",17,12,12,8,2,5,0,8,8,8,8,4,6,0
"R-HSA-1480926",23,12,12,9,2,2,0,13,13,13,11,3,4,0
"R-HSA-1482788",40,26,27,19,10,10,5,9,9,9,9,7,6,4
"R-HSA-1482798",18,6,6,6,5,4,2,12,9,9,9,8,6,5
"R-HSA-1482801",31,21,22,14,7,4,5,8,8,8,7,4,3,3
"R-HSA-1482839",42,26,27,20,10,8,5,9,9,9,9,6,5,5
"R-HSA-1482883",18,7,6,5,4,3,1,8,8,8,7,6,6,1
"R-HSA-1482922",25,16,17,10,5,4,3,6,6,6,6,3,3,2
"R-HSA-1482925",26,17,18,11,6,6,4,10,10,10,9,5,5,8
"R-HSA-1483076",5,1,1,1,1,1,1,1,1,1,1,1,1,1
"R-HSA-1483101",8,2,2,2,1,1,0,2,2,2,2,1,1,0
"R-HSA-1483115",18,8,8,6,0,0,3,6,5,5,5,0,0,2
"R-HSA-1483148",21,6,6,5,4,5,2,5,2,2,2,2,2,2
"R-HSA-1483152",9,1,1,1,0,0,0,3,2,2,2,0,0,0
"R-HSA-1483166",65,37,39,30,15,17,8,17,17,17,16,8,9,8
"R-HSA-1483171",2,0,0,0,0,0,0,2,0,0,0,0,0,0
"R-HSA-1483191",55,25,25,22,12,13,9,18,18,18,17,10,12,7
"R-HSA-1483196",3,1,1,1,1,0,0,4,4,4,4,4,0,0
"R-HSA-1483206",222,116,117,101,55,53,32,133,119,119,114,70,65,52
"R-HSA-1483213",33,10,10,9,4,5,5,9,6,6,6,3,4,3
"R-HSA-1483226",14,5,5,4,2,2,1,3,3,3,3,2,2,1
"R-HSA-1483248",14,5,5,5,4,4,3,5,5,5,5,5,5,2
"R-HSA-1483249",90,44,45,36,19,22,9,71,53,53,52,39,38,20
"R-HSA-1483255",112,70,73,66,29,30,13,89,78,78,71,55,54,26
"R-HSA-1483257",315,185,189,166,83,83,45,218,193,193,181,121,119,78
"R-HSA-1489509",53,38,38,35,14,21,1,28,28,28,23,24,26,2
"R-HSA-1500620",92,35,36,24,15,14,12,15,14,14,14,13,13,13
"R-HSA-1500931",133,91,94,75,24,31,0,60,57,57,52,25,34,0
"R-HSA-1502540",15,10,10,8,1,3,0,10,10,10,10,3,10,0
"R-HSA-1538133",38,21,21,18,14,12,4,27,27,27,27,27,27,18
"R-HSA-156580",259,80,85,67,32,29,14,72,61,61,55,26,22,14
"R-HSA-156581",52,13,13,12,7,4,4,13,12,12,11,5,3,3
"R-HSA-156582",16,2,2,2,0,0,0,4,4,4,4,0,0,0
"R-HSA-156584",72,18,18,19,6,6,1,24,18,18,19,6,6,1
"R-HSA-156587",24,5,6,4,2,0,0,6,5,5,5,2,0,0
"R-HSA-156588",56,13,18,4,3,3,2,11,10,10,4,3,3,3
"R-HSA-156590",67,30,29,27,15,17,7,14,12,12,12,10,10,7
"R-HSA-1566948",46,39,41,39,3,11,0,17,17,17,17,6,12,0
"R-HSA-1566977",7,4,4,4,0,0,0,3,3,3,3,0,0,0
"R-HSA-156711",23,13,14,12,9,8,3,15,14,14,13,7,8,7
"R-HSA-156827",120,101,103,94,94,95,84,3,3,3,3,3,3,3
"R-HSA-156842",102,82,84,75,73,77,72,9,6,6,6,4,6,6
"R-HSA-156902",97,79,81,72,73,74,70,5,4,4,4,4,4,4
"R-HSA-157118",258,130,142,116,74,75,39,154,133,134,121,76,73,28
"R-HSA-157579",111,69,72,59,38,39,34,34,34,34,34,31,32,31
"R-HSA-157858",56,39,39,23,11,15,6,24,23,23,23,10,7,7
"R-HSA-15869",253,86,91,88,51,47,32,135,117,122,116,80,77,50
"R-HSA-1592230",128,57,60,55,34,39,19,36,32,32,32,12,27,6
"R-HSA-159227",39,29,30,26,11,28,4,3,3,3,3,3,3,3
"R-HSA-159230",40,30,31,27,12,29,4,3,3,3,3,3,3,3
"R-HSA-159231",46,35,36,32,17,34,10,3,3,3,3,3,3,3
"R-HSA-159234",47,36,37,33,18,35,10,9,9,9,9,9,9,9
"R-HSA-159236",81,66,68,61,34,55,4,4,4,4,4,4,4,4
"R-HSA-1592389",35,27,28,20,7,4,0,27,27,27,23,18,11,0
"R-HSA-159418",37,12,12,9,5,2,1,12,12,12,9,5,2,1
"R-HSA-159424",24,5,6,4,2,0,0,6,5,5,5,2,0,0
"R-HSA-159740",15,9,9,7,1,4,0,9,9,9,7,1,9,0
"R-HSA-159763",9,5,5,4,1,2,0,9,5,5,4,1,2,0
"R-HSA-159782",10,10,10,9,2,4,0,9,9,9,9,9,9,0
"R-HSA-159854",16,11,11,9,2,5,0,27,23,23,20,11,20,0
"R-HSA-1606322",23,13,13,10,1,5,0,11,9,9,9,1,7,0
"R-HSA-1606341",7,4,4,3,0,1,0,6,6,6,6,0,4,0
"R-HSA-1614517",22,6,6,4,5,4,1,6,6,6,4,5,4,1
"R-HSA-1614558",53,11,13,9,11,10,4,23,19,21,16,19,14,11
"R-HSA-1614603",11,2,2,2,2,2,2,2,2,2,2,2,2,2
"R-HSA-1614635",94,24,26,21,20,17,12,37,33,35,29,29,23,21
"R-HSA-162582",2974,2090,2173,1883,694,760,262,2402,2209,2215,2135,1467,1447,593
"R-HSA-162585",9,0,0,0,0,0,0,2,0,0,0,0,0,0
"R-HSA-162587",177,0,0,0,0,0,0,117,0,0,0,0,0,0
"R-HSA-162588",37,0,0,0,0,0,0,4,0,0,0,0,0,0
"R-HSA-162589",10,0,0,0,0,0,0,12,0,0,0,0,0,0
"R-HSA-162592",15,0,0,0,0,0,0,14,0,0,0,0,0,0
"R-HSA-162594",25,0,0,0,0,0,0,39,0,0,0,0,0,0
"R-HSA-162599",163,0,0,0,0,0,0,78,0,0,0,0,0,0
"R-HSA-162658",17,9,10,10,7,7,3,6,6,6,6,6,6,4
"R-HSA-162699",7,3,3,3,0,3,0,2,1,1,1,0,1,0
"R-HSA-162710",36,16,16,14,5,12,8,11,10,10,9,5,8,8
"R-HSA-162791",10,7,7,0,0,0,0,2,2,2,0,0,0,0
"R-HSA-162906",262,0,0,0,0,0,0,160,0,0,0,0,0,0
"R-HSA-162909",150,0,0,0,0,0,0,54,0,0,0,0,0,0
"R-HSA-1630316",182,107,115,108,28,40,2,88,81,85,85,58,71,2
"R-HSA-163125",115,77,77,20,6,18,10,16,14,14,11,6,10,9
"R-HSA-163200",153,118,120,118,48,105,29,31,28,28,28,20,26,16
"R-HSA-163210",23,18,18,17,14,15,12,3,3,3,3,3,3,3
"R-HSA-163282",3,3,3,3,1,0,0,2,2,2,2,2,0,0
"R-HSA-1632852",150,110,111,103,64,74,43,87,82,80,82,79,78,70
"R-HSA-163316",1,1,1,1,0,1,0,1,1,1,1,0,1,0
"R-HSA-163358",7,4,4,4,3,4,1,5,3,3,3,3,3,1
"R-HSA-163359",40,31,32,31,8,13,1,6,6,6,6,5,5,1
"R-HSA-163560",42,20,19,15,6,5,1,17,13,12,8,5,5,1
"R-HSA-163615",23,16,16,15,7,11,0,4,4,4,4,3,3,0
"R-HSA-163680",11,7,7,6,1,1,2,4,4,4,4,3,3,3
"R-HSA-163685",145,98,98,92,36,39,10,62,59,59,59,50,50,24
"R-HSA-163754",10,2,2,2,2,2,1,3,3,3,3,3,3,1
"R-HSA-163765",9,3,3,2,3,2,0,6,6,6,6,6,6,0
"R-HSA-163767",9,6,6,5,3,3,3,4,4,4,4,4,4,4
"R-HSA-1638074",52,29,30,28,4,8,0,16,15,15,15,4,13,0
"R-HSA-1638091",88,46,52,47,17,24,0,33,29,33,33,25,32,0
"R-HSA-163841",74,35,35,32,14,17,10,40,34,35,30,20,29,7
"R-HSA-1640170",734,525,539,478,249,297,185,449,416,416,411,375,376,308
"R-HSA-1643685",2345,0,0,0,0,0,0,1592,0,0,0,0,0,0
"R-HSA-1643713",32,0,0,0,0,0,0,42,0,0,0,0,0,0
"R-HSA-164378",23,16,16,16,6,10,0,2,2,2,2,2,2,0
"R-HSA-164516",10,0,0,0,0,0,0,8,0,0,0,0,0,0
"R-HSA-164525",8,0,0,0,0,0,0,4,0,0,0,0,0,0
"R-HSA-164843",13,0,0,0,0,0,0,3,0,0,0,0,0,0
"R-HSA-164938",22,0,0,0,0,0,0,15,0,0,0,0,0,0
"R-HSA-164939",3,0,0,0,0,0,0,3,0,0,0,0,0,0
"R-HSA-164940",11,0,0,0,0,0,0,4,0,0,0,0,0,0
"R-HSA-164944",9,0,0,0,0,0,0,5,0,0,0,0,0,0
"R-HSA-164952",29,22,24,19,11,10,9,20,20,20,20,14,14,12
"R-HSA-165054",44,0,0,0,0,0,0,10,0,0,0,0,0,0
"R-HSA-1650814",76,58,62,47,13,7,0,51,45,46,41,26,16,0
"R-HSA-165158",7,4,4,4,2,2,2,3,3,3,3,3,3,3
"R-HSA-165159",50,39,39,34,22,25,14,29,29,29,29,26,27,22
"R-HSA-165160",8,1,1,1,0,0,0,2,2,2,2,0,0,0
"R-HSA-165181",6,2,2,2,0,2,0,2,2,2,2,0,2,0
"R-HSA-1655829",87,38,40,35,19,24,18,52,49,49,48,31,35,19
"R-HSA-166016",151,89,98,75,27,31,13,95,81,87,79,39,65,25
"R-HSA-166020",3,2,2,0,1,0,0,2,2,2,0,2,0,0
"R-HSA-1660499",69,45,48,46,14,17,5,33,31,31,31,19,22,9
"R-HSA-1660502",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660508",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660510",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660514",32,17,17,14,10,9,7,11,11,11,9,8,8,6
"R-HSA-1660516",31,15,15,11,8,8,4,13,13,13,11,9,9,5
"R-HSA-1660517",22,11,11,7,5,5,2,7,7,7,4,4,4,1
"R-HSA-1660524",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-1660537",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-166058",118,68,72,58,21,24,12,64,58,58,58,28,49,23
"R-HSA-1660661",80,41,43,43,22,19,14,32,30,31,31,20,20,18
"R-HSA-1660662",86,41,39,40,23,20,1,32,31,30,30,24,21,1
"R-HSA-166166",107,65,69,58,24,26,11,60,51,57,51,32,40,13
"R-HSA-166187",18,6,6,6,1,2,1,9,6,6,6,4,4,2
"R-HSA-166208",28,24,24,23,16,18,8,8,8,8,8,7,6,5
"R-HSA-1663150",17,9,8,9,1,3,0,2,2,2,2,1,2,0
"R-HSA-166520",166,83,85,78,29,28,12,164,148,149,144,89,66,18
"R-HSA-166658",156,65,69,38,5,8,0,71,67,67,66,10,29,0
"R-HSA-166662",15,5,6,2,0,1,0,6,6,6,6,0,2,0
"R-HSA-166663",120,40,42,18,2,2,0,21,19,20,20,6,8,0
"R-HSA-166665",8,7,8,7,0,0,0,5,5,5,5,0,0,0
"R-HSA-166786",111,35,35,11,0,1,0,8,8,8,8,0,2,0
"R-HSA-167021",5,2,2,2,1,1,0,3,3,3,3,2,2,0
"R-HSA-167044",26,11,11,9,4,4,2,10,9,9,7,4,5,3
"R-HSA-167060",5,4,4,3,1,1,0,5,5,5,5,1,1,0
"R-HSA-167152",50,0,0,0,0,0,0,2,0,0,0,0,0,0
"R-HSA-167158",37,0,0,0,0,0,0,5,0,0,0,0,0,0
"R-HSA-167160",29,0,0,0,0,0,0,5,0,0,0,0,0,0
"R-HSA-167161",52,0,0,0,0,0,0,4,0,0,0,0,0,0
"R-HSA-167162",52,0,0,0,0,0,0,9,0,0,0,0,0,0
"R-HSA-167169",52,0,0,0,0,0,0,15,0,0,0,0,0,0
"R-HSA-167172",81,0,0,0,0,0,0,47,0,0,0,0,0,0
"R-HSA-167200",49,0,0,0,0,0,0,5,0,0,0,0,0,0
"R-HSA-167238",39,0,0,0,0,0,0,2,0,0,0,0,0,0
"R-HSA-167242",27,0,0,0,0,0,0,2,0,0,0,0,0,0
"R-HSA-167243",39,0,0,0,0,0,0,3,0,0,0,0,0,0
"R-HSA-167246",52,0,0,0,0,0,0,8,0,0,0,0,0,0
"R-HSA-167287",40,0,0,0,0,0,0,3,0,0,0,0,0,0
"R-HSA-167290",40,0,0,0,0,0,0,2,0,0,0,0,0,0
"R-HSA-167590",10,0,0,0,0,0,0,5,0,0,0,0,0,0
"R-HSA-167826",8,5,5,5,1,2,0,6,3,3,3,3,3,0
"R-HSA-167827",11,5,5,5,1,2,0,1,1,1,1,1,1,0
"R-HSA-1679131",16,13,12,10,3,3,0,7,7,7,7,4,4,0
"R-HSA-168138",106,64,67,57,24,26,15,68,60,60,60,30,48,25
"R-HSA-168142",94,57,59,51,21,23,12,59,52,52,52,28,44,21
"R-HSA-168164",102,65,68,58,24,26,11,61,58,57,51,31,40,13
"R-HSA-168176",94,57,59,51,21,23,12,59,52,52,52,28,44,21
"R-HSA-168179",121,70,74,60,21,24,12,66,59,59,59,28,50,23
"R-HSA-168181",103,61,64,54,21,23,12,66,58,58,56,29,47,24
"R-HSA-168188",118,68,72,58,21,24,12,66,59,59,59,28,50,23
"R-HSA-168249",1333,822,852,673,316,362,186,708,600,605,532,263,362,146
"R-HSA-168255",200,0,0,0,0,0,0,59,0,0,0,0,0,0
"R-HSA-168256",2681,1517,1561,1238,528,612,278,1621,1411,1435,1306,566,697,291
"R-HSA-168268",20,0,0,0,0,0,0,21,0,0,0,0,0,0
"R-HSA-168270",18,0,0,0,0,0,0,5,0,0,0,0,0,0
"R-HSA-168271",48,0,0,0,0,0,0,4,0,0,0,0,0,0
"R-HSA-168273",176,0,0,0,0,0,0,14,0,0,0,0,0,0
"R-HSA-168274",54,0,0,0,0,0,0,5,0,0,0,0,0,0
"R-HSA-168275",20,0,0,0,0,0,0,1,0,0,0,0,0,0
"R-HSA-168276",46,0,0,0,0,0,0,6,0,0,0,0,0,0
"R-HSA-168277",4,0,0,0,0,0,0,2,0,0,0,0,0,0
"R-HSA-168288",17,0,0,0,0,0,0,3,0,0,0,0,0,0
"R-HSA-168298",18,0,0,0,0,0,0,1,0,0,0,0,0,0
